SENSOR-1  SENSOR-2  SENSOR-3  MAJORITY  ALARM  E-VALVE  RESET  ALARM-CNT
--------  --------  --------  --------  -----  -------  -----  ---------
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     0
NORMAL    HIGH      CRITICAL  UNDEF     --     --       --     0
NORMAL    HIGH      CRITICAL  UNDEF     ON     OPEN     --     1
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     ON     1
NORMAL    NORMAL    NORMAL    NORMAL    --     --       ON     1
HIGH      HIGH      HIGH      HIGH      --     --       --     1
HIGH      HIGH      HIGH      HIGH      ON     --       --     2
CRITICAL  CRITICAL  CRITICAL  CRITICAL  ON     --       --     2
CRITICAL  CRITICAL  CRITICAL  CRITICAL  ON     OPEN     --     2
HIGH      HIGH      HIGH      HIGH      ON     OPEN     ON     2
HIGH      HIGH      HIGH      HIGH      --     --       ON     2
HIGH      HIGH      HIGH      HIGH      --     --       --     2
HIGH      HIGH      HIGH      HIGH      ON     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    ON     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     3
NORMAL    NORMAL    NORMAL    NORMAL    --     --       --     3
CRITICAL  CRITICAL  CRITICAL  CRITICAL  --     --       --     3
CRITICAL  CRITICAL  CRITICAL  CRITICAL  ON     OPEN     --     4
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     ON     4
NORMAL    NORMAL    NORMAL    NORMAL    --     --       ON     4
